Unique URL,Model and Year,Miles Driven,Price
/cars-for-sale/vehicledetails.xhtml?listingId=578929162&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=MBS450&clickType=listing,Used 2018 Mercedes-Benz S 450 Sedan,45502 ,55991
/cars-for-sale/vehicledetails.xhtml?listingId=577110712&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=MBS560&clickType=listing,Certified 2018 Mercedes-Benz S 560 4MATIC Sedan,25695 ,75988
/cars-for-sale/vehicledetails.xhtml?listingId=568931893&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S550&clickType=listing,Used 2010 Mercedes-Benz S 550,106931 ,14610
/cars-for-sale/vehicledetails.xhtml?listingId=566150478&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S550&clickType=listing,Used 2014 Mercedes-Benz S 550 w/ Sport & Premium Package,52408 ,41990
/cars-for-sale/vehicledetails.xhtml?listingId=578801429&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S550&clickType=listing,Used 2013 Mercedes-Benz S 550,94647 ,19995
/cars-for-sale/vehicledetails.xhtml?listingId=579079001&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S63AMG&clickType=listing,Used 2010 Mercedes-Benz S 63 AMG,56810 ,29999
/cars-for-sale/vehicledetails.xhtml?listingId=577521727&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S550&clickType=listing,Used 2016 Mercedes-Benz S 550 4MATIC Coupe,26185 ,69327
/cars-for-sale/vehicledetails.xhtml?listingId=575044627&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=MBS560&clickType=listing,Certified 2020 Mercedes-Benz S 560 Sedan,3100 ,102500
/cars-for-sale/vehicledetails.xhtml?listingId=573897596&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=MBS560&clickType=listing,Certified 2020 Mercedes-Benz S 560 Sedan,6595 ,103500
/cars-for-sale/vehicledetails.xhtml?listingId=575044628&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=MBS560&clickType=listing,Certified 2020 Mercedes-Benz S 560 Sedan,4811 ,104900
